Date,GMERTRB
2018-02-13,54.0544
2018-02-12,52.7661
2018-02-11,50.7532
2018-02-10,40.4636
2018-02-09,48.2798
2018-02-08,51.2779
2018-02-07,54.9135
2018-02-06,51.673
2018-02-05,52.5745
2018-02-04,50.3366
2018-02-03,45.3294
2018-02-02,44.7806
2018-02-01,48.4216
2018-01-31,46.9507
2018-01-30,52.3635
2018-01-29,48.3746
2018-01-28,50.655
2018-01-27,47.7217
2018-01-26,48.1177
2018-01-25,51.0457
2018-01-24,54.2811
2018-01-23,53.0399
2018-01-22,51.7747
2018-01-21,45.2009
2018-01-20,40.4089
2018-01-19,51.0209
2018-01-18,51.061
2018-01-17,49.0935
2018-01-16,44.2728
2018-01-15,49.2477
2018-01-14,51.3428
2018-01-13,47.6679
2018-01-12,48.1404
2018-01-11,51.4537
2018-01-10,54.0988
2018-01-09,50.9986
2018-01-08,55.6006
2018-01-07,45.7894
2018-01-06,45.095
2018-01-05,47.8753
2018-01-04,52.3953
